a:,a,ə,ã,ã,
b:,b,
c:,k,s,ʃ,z,
d:,d,dʒ,
e:,e,ɛ,i,ẽ,ɪ,ỹ,o,
f:,f,
g:,g,ɡ,ʒ,
h:,h?,
i:,i,ĩ,y,ɪ,ỹ,
j:,ʒ,j,
k:,k,
l:,l,w,
m:,m,ỹ,ʊ̃,ũ,
n:,n,ỹ,
o:,o,ɔ,ɔ,u,õ,õ,ʊ,ʊ̃,ɪ,
p:,p,
q:,q?,
r:,ɾ,ɣ,x,
s:,s,z,ʃ,ss,ʒ,
t:,t,tʃ,
u:,u,ũ,ũ,w,ʊ,ʊ̃,
v:,v,
w:,w?,
x:,z,ʃ,ks,s,
y:,y?,
z:,z,s,
lh:,ʎ,
nh:,ɲ,
rr:,x,
ss:,s,ʃ,sz,ss,z,
ch:,ʃ,
ç:,s,z,
gu:,g,gw,gu,gʊ,
qu:,k,kw,
